DATE,SERIES,OPEN,HIGH,LOW,PREV_CLOSE,LTP,CLOSE,VWAP,52W_H,52W_L,VOLUME,VALUE,NO_OF_TRADES,previous_close,return
2026-02-16,EQ,949.5,999.0,936.45,950.5,991.8,991.25,982.06,1177.55,758.0,4171950.0,4.0971209947E9,84832.0,,
2026-02-17,EQ,982.65,1018.95,979.25,991.25,1014.25,1016.8,1001.51,1177.55,758.0,3770349.0,3.7760472805E9,67504.0,991.25,0.02577553593947032
2026-02-18,EQ,1019.0,1019.95,987.4,1016.8,998.55,1000.1,999.73,1177.55,758.0,1964869.0,1.96433871925E9,40944.0,1016.8,-0.016424075531077824
2026-02-19,EQ,1000.1,1005.0,970.0,1000.1,971.05,976.5,987.82,1177.55,758.0,1500530.0,1.4822489897E9,31644.0,1000.1,-0.023597640235976425
2026-02-20,EQ,976.4,980.75,965.0,976.5,967.2,968.25,972.97,1177.55,758.0,1221495.0,1.1884824884E9,25844.0,976.5,-0.008448540706605223
2026-02-23,EQ,978.25,987.55,962.0,968.25,970.3,970.35,974.25,1177.55,758.0,1188654.0,1.15804197255E9,26487.0,968.25,0.0021688613477924327
2026-02-24,EQ,970.15,988.0,956.45,970.35,984.0,981.35,969.81,1177.55,758.0,1290484.0,1.25152300615E9,25195.0,970.35,0.011336115834492708
2026-02-25,EQ,984.95,988.6,960.0,981.35,963.0,964.15,970.04,1177.55,758.0,1345367.0,1.30506508405E9,26908.0,981.35,-0.0175268762419117
2026-02-26,EQ,964.15,973.5,956.55,964.15,962.6,965.95,965.57,1177.55,758.0,911136.0,8.797658271E8,19190.0,964.15,0.0018669294196961763
2026-02-27,EQ,960.35,969.5,942.0,965.95,944.0,947.35,956.35,1177.55,758.0,1156653.0,1.1061660873E9,23727.0,965.95,-0.019255655054609473
2026-03-02,EQ,915.0,926.95,880.25,947.35,906.85,903.55,902.11,1177.55,758.0,3482707.0,3.141795675E9,70675.0,947.35,-0.04623423233229542
2026-03-04,EQ,880.0,882.8,867.0,903.55,870.0,871.95,873.87,1177.55,758.0,1976974.0,1.72762143685E9,47372.0,903.55,-0.03497316141884778
2026-03-05,EQ,886.25,889.75,864.6,871.95,883.6,884.55,873.2,1177.55,758.0,4655262.0,4.0649916122E9,79707.0,871.95,0.014450369860657043
2026-03-06,EQ,879.6,894.55,855.15,884.55,863.0,858.4,870.7,1177.55,758.0,5784124.0,5.03626095805E9,87497.0,884.55,-0.029563054660561843
2026-03-09,EQ,841.0,858.0,825.0,858.4,855.5,854.15,841.54,1177.55,765.0,1922632.0,1.61796240955E9,37608.0,858.4,-0.004951071761416589
2026-03-10,EQ,875.0,878.95,843.25,854.15,858.5,856.9,855.5,1177.55,765.0,3240047.0,2.7718594991E9,48641.0,854.15,0.0032195750160978753
2026-03-11,EQ,866.6,877.9,846.9,856.9,852.0,849.65,863.96,1177.55,765.0,3005645.0,2.59676622045E9,51884.0,856.9,-0.008460730540319757
2026-03-12,EQ,849.6,881.95,837.4,849.65,866.65,866.55,862.94,1177.55,765.0,6591414.0,5.6879960866E9,90427.0,849.65,0.01989054316483255
2026-03-13,EQ,865.25,878.75,844.0,866.55,863.0,861.35,855.8,1177.55,765.0,6756426.0,5.78215995435E9,61609.0,866.55,-0.006000807801050063
